"Date","Price","Open","High","Low","Change %"
"Mar 17, 2021","73.0748","72.8728","73.1595","72.8500","0.28%"
"Mar 16, 2021","72.8728","72.8170","73.0556","72.5404","0.08%"
"Mar 15, 2021","72.8170","73.3335","73.4717","72.8170","-0.70%"
"Mar 12, 2021","73.3335","73.3037","73.7261","73.2349","0.04%"
"Mar 11, 2021","73.3037","73.6031","73.8572","73.1938","-0.41%"
"Mar 10, 2021","73.6031","73.9083","74.1266","73.6005","-0.41%"
"Mar 09, 2021","73.9083","74.2287","74.5188","73.7870","-0.43%"
"Mar 05, 2021","74.2287","74.7030","74.7585","74.1230","-0.63%"
"Mar 04, 2021","74.7030","73.9755","74.9435","73.3588","0.98%"
"Mar 03, 2021","73.9755","73.8165","74.0528","73.4101","0.22%"
"Mar 02, 2021","73.8165","74.1739","74.7194","73.6248","-0.48%"
"Mar 01, 2021","74.1739","74.6196","74.6300","73.9065","-0.60%"
"Feb 26, 2021","74.6196","74.7301","74.9153","74.2633","-0.15%"
"Feb 25, 2021","74.7301","73.5305","74.8222","73.3678","1.63%"
"Feb 24, 2021","73.5305","74.3130","74.3130","73.4157","-1.05%"
"Feb 22, 2021","74.3130","74.0500","75.0444","74.0500","0.35%"
"Feb 20, 2021","74.0545","74.1116","74.1705","73.8807","-0.08%"
"Feb 19, 2021","74.1116","73.9036","74.1950","73.8043","0.28%"
"Feb 18, 2021","73.9036","73.7194","74.1567","73.5539","0.25%"
"Feb 17, 2021","73.7194","73.6533","74.1868","73.5556","0.09%"
"Feb 16, 2021","73.6533","73.3225","73.8965","73.1509","0.45%"
"Feb 15, 2021","73.3225","73.7114","73.7175","73.1566","-0.53%"
"Feb 12, 2021","73.7114","73.6155","74.4613","73.5170","0.13%"
"Feb 11, 2021","73.6155","73.9408","73.9450","73.5359","-0.44%"
"Feb 10, 2021","73.9408","73.8836","74.0045","73.6327","0.08%"
"Feb 09, 2021","73.8836","74.3034","74.3034","73.8723","-0.56%"
"Feb 08, 2021","74.3034","74.6528","74.6528","74.1570","-0.47%"
"Feb 05, 2021","74.6528","75.5065","75.5065","74.5365","-1.13%"
"Feb 04, 2021","75.5065","75.9423","76.0430","75.3200","-0.57%"
"Feb 03, 2021","75.9423","76.2240","76.2820","75.7821","-0.37%"
"Feb 02, 2021","76.2240","76.1354","76.2259","75.3237","0.12%"
"Feb 01, 2021","76.1354","75.7404","76.1859","75.3596","0.52%"
"Jan 29, 2021","75.7404","75.9592","76.3329","75.2512","-0.29%"
"Jan 28, 2021","75.9592","75.8464","76.4995","75.7028","0.15%"
"Jan 27, 2021","75.8464","75.0963","75.9660","74.8817","1.00%"
"Jan 26, 2021","75.0963","75.3460","75.7686","74.9557","-0.33%"
"Jan 25, 2021","75.3460","75.2899","75.8453","74.6422","0.07%"
"Jan 22, 2021","75.2899","73.8340","75.3529","73.8340","1.97%"
"Jan 21, 2021","73.8340","73.5241","74.0538","73.2527","0.42%"
"Jan 20, 2021","73.5241","73.6709","73.6800","73.2253","-0.20%"
"Jan 19, 2021","73.6709","74.0232","74.0232","73.6035","-0.48%"
"Jan 18, 2021","74.0232","73.6309","74.3641","73.6309","0.53%"
"Jan 15, 2021","73.6309","73.2179","73.8705","73.2100","0.56%"
"Jan 14, 2021","73.2179","73.7649","73.9952","73.1215","-0.74%"
"Jan 13, 2021","73.7649","73.5369","73.9702","73.3923","0.31%"
"Jan 12, 2021","73.5369","74.6691","74.6691","73.5057","-1.52%"
"Jan 11, 2021","74.6691","74.1636","74.9882","74.1546","0.68%"
"Jan 08, 2021","74.1636","73.9221","74.8097","73.8584","0.33%"
"Jan 06, 2021","73.9221","74.0283","74.1920","73.4190","-0.14%"
"Jan 05, 2021","74.0283","74.3051","75.1963","73.8610","-0.37%"
"Jan 04, 2021","74.3051","73.6055","74.3843","73.4287","-0.14%"
"Dec 30, 2020","74.4121","74.0354","74.9648","73.6500","0.51%"
"Dec 29, 2020","74.0354","73.7570","74.0880","73.3793","0.38%"
"Dec 28, 2020","73.7570","74.1956","74.1956","73.5498","-0.59%"
"Dec 25, 2020","74.1956","73.8873","74.2232","73.6339","0.42%"
"Dec 24, 2020","73.8873","75.0744","75.1457","73.8750","-1.58%"
"Dec 23, 2020","75.0744","75.8958","75.9100","74.7384","-1.08%"
"Dec 22, 2020","75.8958","74.8058","75.8980","74.8000","1.46%"
"Dec 21, 2020","74.8058","73.3477","75.4338","73.3464","1.99%"
"Dec 18, 2020","73.3477","72.8620","73.8657","72.8620","0.67%"
"Dec 17, 2020","72.8620","73.3497","73.3503","72.6630","-0.66%"
"Dec 16, 2020","73.3497","73.3824","73.7033","73.2610","-0.04%"
"Dec 15, 2020","73.3824","73.8683","73.8721","73.3256","-0.66%"
"Dec 14, 2020","73.8683","72.9572","73.9740","72.8020","1.25%"
"Dec 11, 2020","72.9572","73.0484","73.3937","72.9042","-0.12%"
"Dec 10, 2020","73.0484","73.8723","73.8910","72.9875","-1.12%"
"Dec 09, 2020","73.8723","73.5166","74.0409","73.1701","0.48%"
"Dec 08, 2020","73.5166","73.6484","73.8387","73.0598","-0.18%"
"Dec 07, 2020","73.6484","74.0634","74.5030","73.3032","-0.56%"
"Dec 04, 2020","74.0634","74.4431","74.4500","73.7717","-0.51%"
"Dec 03, 2020","74.4431","75.0718","75.3724","74.2961","-0.84%"
"Dec 02, 2020","75.0718","75.8453","75.9363","75.0718","-1.02%"
"Dec 01, 2020","75.8453","76.4033","76.4033","75.5636","-0.73%"
